No_,No_ 2,Description,Search Description,Description 2,Base Unit of Measure,Price Unit Conversion,Type,Inventory Posting Group,Shelf No_,Item Disc_ Group,Allow Invoice Disc_,Statistics Group,Commission Group,Unit Price,Price_Profit Calculation,Profit _,Costing Method,Unit Cost,Standard Cost,Quoted Price(INR),Quoted Price(FCY),Quoted Currency,Standard Cost_,Production BOM No_
119852,,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,,EA,120,0,CN,S007,D666,1,G1,C1,496,546,50,UC,3540,3528,51,41,INR,77,1000456-SMT
111742,,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,,EA,120,0,RM,S008,D668,1,G1,C1,352,402,50,UC,3335,3165,56,19,USD,87,1000456-SMT
137963,,FUJI-FILTER 02,FUJI-FILTER 02,,EA,120,0,RM,S008,D667,1,G1,C1,427,477,50,UC,3299,3211,19,5,USD,84,1000456-SMT
133133,,STATIC SHIELDED BAGS OF SIZE 280x220,STATIC SHIELDED BAGS OF SIZE 280x221,,EA,120,0,PM,S006,D666,1,G1,C1,629,679,50,UC,2949,2929,36,57,USD,98,
111463,,"RoHS PCB BOARD, IQ CONTROLLER","RoHS PCB BOARD, IQ CONTROLLER",,EA,120,0,RM,S007,D655,1,G1,C1,287,337,50,UC,3193,3195,24,47,USD,84,1000456-SMT
1000457,,"RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS","RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS",,EA,120,0,PM,S003,D666,1,G1,C1,575,625,50,UC,3352,3350,17,19,USD,81,
105581,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,CN,S002,D667,1,G1,C1,539,589,50,UC,3142,3458,17,9,USD,94,
1000457,,"RoHS CARTON,SINGLE OUTPUT  PSU","RoHS CARTON,SINGLE OUTPUT  PSU",,EA,120,0,PM,S001,D666,1,G1,C1,741,791,50,UC,3566,3566,45,45,INR,88,1000456-SMT
EII-CNS-OT-0025,,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,,EA,120,0,PM,S007,D667,1,G1,C1,275,325,50,UC,2508,2708,36,32,INR,95,
105581,,"ROHS,Attention Tape","ROHS,Attention Tape",,EA,120,0,PM,S009,D654,1,G1,C1,357,407,50,UC,3733,3233,52,15,INR,76,
114717,,FUJI-FILTER 02,FUJI-FILTER 03,,EA,120,0,CN,S008,D668,1,G1,C1,355,405,50,UC,2610,2660,27,15,INR,90,1000457-SMT
121793,,"RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS","RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS",,EA,120,0,PM,S010,D666,1,G1,C1,649,699,50,UC,2872,2872,32,55,INR,98,1000456-SMT
114717,,"RoHS PCB BOARD, IQ CONTROLLER","RoHS PCB BOARD, IQ CONTROLLER",,EA,120,0,PM,S006,D667,1,G1,C1,321,371,50,UC,3718,3080,58,14,USD,90,1000457-SMT
119852,,STATIC SHIELDED BAGS OF SIZE 280x220,"RoHSLabel, 3.5 X 1 inch blank (outer box labels/",,EA,120,0,PM,S001,D654,1,G1,C1,330,380,50,UC,3368,3332,29,6,INR,93,1000457-SMT
120958,,"RoHS PCB BOARD, IQ CONTROLLER","RoHS PCB BOARD, IQ CONTROLLER",,EA,120,0,RM,S003,D655,1,G1,C1,462,512,50,UC,3631,3661,27,34,USD,88,1000457-SMT
108259,,"RoHS,Security Tape","RoHS,Security Tape",,EA,120,0,PM,S004,D666,1,G1,C1,343,393,50,UC,3808,3012,6,21,USD,98,1000457-SMT
108259,,"RoHS,DRAM-1","RoHS,DRAM-2",,EA,120,0,RM,S003,D654,1,G1,C1,419,469,50,UC,3876,3883,2,32,USD,82,1000456-SMT
116912,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,PM,S010,D667,1,G1,C1,700,750,50,UC,3403,3062,4,42,INR,99,
138531,,"RoHS CARTON,SINGLE OUTPUT  PSU","RoHS CARTON,SINGLE OUTPUT  PSU",,EA,120,0,PM,S007,D668,1,G1,C1,637,687,50,UC,3611,3639,56,58,USD,93,
1000457,,"RoHS CARTON,SINGLE OUTPUT  PSU","RoHS CARTON,SINGLE OUTPUT  PSU",,EA,120,0,RM,S006,D654,1,G1,C1,556,606,50,UC,3201,3862,28,42,USD,90,1000457-SMT
119852,,FUJI-FILTER 02,"RoHSLabel, 3.5 X 1 inch blank (outer box labels/",,EA,120,0,RM,S006,D666,1,G1,C1,678,728,50,UC,3988,3985,13,27,USD,80,1000457-SMT
108259,,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,,EA,120,0,PM,S003,D668,1,G1,C1,653,703,50,UC,3089,3899,56,45,USD,83,1000457-SMT
117232,,"RoHS,DRAM-1","RoHS,DRAM-2",,EA,120,0,CN,S010,D668,1,G1,C1,379,429,50,UC,3527,3439,58,54,USD,90,
119852,,"RoHS,Label, 4X6 inch","RoHS,Label, 4X6 inch",,EA,120,0,RM,S002,D654,1,G1,C1,354,404,50,UC,3624,3663,30,11,INR,86,1000457-SMT
119852,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,CN,S006,D655,1,G1,C1,568,618,50,UC,2692,2676,5,38,USD,80,1000457-SMT
700526-1,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,RM,S010,D666,1,G1,C1,439,489,50,UC,3783,3884,3,6,USD,85,1000456-SMT
1000457,,"RoHS,DRAM-1","RoHS,DRAM-2",,EA,120,0,CN,S002,D655,1,G1,C1,359,409,50,UC,3339,3327,55,58,USD,88,1000456-SMT
108474,,_RARE_,_RARE_,,EA,120,0,PM,S005,D666,1,G1,C1,377,427,50,UC,2412,2485,7,30,USD,94,
119852,,FUJI-FILTER 02,FUJI-FILTER 03,,EA,120,0,CN,S004,D668,1,G1,C1,326,376,50,UC,3838,3038,52,43,USD,92,
1000457,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,PM,S004,D666,1,G1,C1,328,378,50,UC,3969,3901,57,3,USD,80,1000457-SMT
121793,,"RoHS PCB BOARD, IQ CONTROLLER","RoHS PCB BOARD, IQ CONTROLLER",,EA,120,0,RM,S002,D666,1,G1,C1,255,305,50,UC,3838,3830,43,37,USD,86,1000456-SMT
135506,,OTCT-325*193*227MM-200PCS SODIMM-Y,OTCT-325*193*227MM-200PCS SODIMM-Y,,EA,120,0,PM,S009,D668,1,G1,C1,541,591,50,UC,2624,2661,37,26,INR,75,1000456-SMT
135677,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,RM,S005,D655,1,G1,C1,299,349,50,UC,3353,3354,43,7,USD,79,
138531,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,RM,S002,D667,1,G1,C1,582,632,50,UC,3363,3006,59,27,INR,85,1000456-SMT
700536-2,,"RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS","RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS",,EA,120,0,PM,S008,D654,1,G1,C1,277,327,50,UC,2790,2790,1,41,INR,83,
121969,,"RoHS,Label, 4X6 inch","RoHS,Label, 4X6 inch",,EA,120,0,CN,S010,D654,1,G1,C1,336,386,50,UC,3724,3429,44,31,INR,89,1000456-SMT
108259,,OTCT-650*478*228MM-1000PCS SODIMM-Y,OTCT-650*478*228MM-1000PCS SODIMM-Y,,EA,120,0,CN,S002,D655,1,G1,C1,575,625,50,UC,2926,2528,52,11,INR,90,1000457-SMT
119852,,STATIC SHIELDED BAGS OF SIZE 280x220,STATIC SHIELDED BAGS OF SIZE 280x221,,EA,120,0,CN,S009,D654,1,G1,C1,268,318,50,UC,3320,3230,21,17,INR,79,1000456-SMT
138531,,"RoHS,Label, 4X6 inch","RoHS,Label, 4X6 inch",,EA,120,0,PM,S006,D654,1,G1,C1,641,691,50,UC,3482,3018,18,20,INR,83,1000456-SMT
147831,,OTCT-325*193*227MM-200PCS SODIMM-Y,OTCT-325*193*227MM-200PCS SODIMM-Y,,EA,120,0,RM,S001,D668,1,G1,C1,573,623,50,UC,2712,2717,27,48,INR,98,1000457-SMT
700536-1,,"RoHS,DRAM-1","RoHS,DRAM-2",,EA,120,0,PM,S004,D654,1,G1,C1,640,690,50,UC,2913,2943,21,34,INR,79,1000457-SMT
1000457,,"RoHS CARTON,SINGLE OUTPUT  PSU","RoHS CARTON,SINGLE OUTPUT  PSU",,EA,120,0,PM,S004,D654,1,G1,C1,652,702,50,UC,3566,3560,5,19,INR,92,
124257,,STATIC SHIELDED BAGS OF SIZE 280x220,"RoHS,SCM1G8Z41CD8SA-062E",,EA,120,0,PM,S006,D654,1,G1,C1,297,347,50,UC,3394,3373,19,3,INR,89,1000456-SMT
121793,,"RoHSLabel, 3.5 X 1 inch blank (outer box labels/","RoHSLabel, 3.5 X 1 inch blank (outer box labels/",,EA,120,0,RM,S004,D667,1,G1,C1,353,403,50,UC,3033,3722,24,31,USD,100,
138212,,"RoHS,Label, 4X6 inch","RoHS,Label, 4X6 inch",,EA,120,0,PM,S004,D667,1,G1,C1,478,528,50,UC,2638,2660,33,20,INR,94,1000457-SMT
131664,,"RoHS PCB BOARD, IQ CONTROLLER","RoHS PCB BOARD, IQ CONTROLLER",,EA,120,0,PM,S003,D655,1,G1,C1,647,697,50,UC,3653,3647,17,30,USD,80,1000457-SMT
700536-4,,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,,EA,120,0,RM,S007,D655,1,G1,C1,285,335,50,UC,2509,2531,26,19,INR,78,1000457-SMT
123759,,"RoHS,SCM1G8Z41CD8SA-062E","RoHS,SCM1G8Z41CD8SA-062E",,EA,120,0,RM,S003,D654,1,G1,C1,385,435,50,UC,2769,2737,33,21,USD,99,1000457-SMT
108259,,"RoHS,Label, 5 X 2 inch blank","RoHS,Label, 5 X 2 inch blank",,EA,120,0,RM,S001,D668,1,G1,C1,544,594,50,UC,3734,3003,11,10,INR,86,1000457-SMT
138531,,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,,EA,120,0,CN,S004,D666,1,G1,C1,333,383,50,UC,2620,2620,6,44,USD,89,
108259,,"ROHS,Attention Tape","ROHS,Attention Tape",,EA,120,0,PM,S002,D655,1,G1,C1,647,697,50,UC,3838,3208,37,10,USD,91,1000456-SMT
123759,,"RoHS,Label, 5 X 2 inch blank","RoHS,Label, 5 X 2 inch blank",,EA,120,0,CN,S010,D654,1,G1,C1,293,343,50,UC,3874,3841,16,47,USD,97,1000457-SMT
1000457,,"RoHS,SCM1G8Z41CD8SA-062E","RoHS,SCM1G8Z41CD8SA-062E",,EA,120,0,CN,S005,D666,1,G1,C1,334,384,50,UC,3343,3342,9,57,INR,78,1000457-SMT
119852,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,PM,S006,D667,1,G1,C1,357,407,50,UC,3601,3661,15,43,USD,75,
119852,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,PM,S008,D666,1,G1,C1,637,687,50,UC,3602,3602,3,45,INR,83,1000456-SMT
108259,,"ROHS,Attention Tape","ROHS,Attention Tape",,EA,120,0,CN,S008,D667,1,G1,C1,486,536,50,UC,3501,3009,48,11,USD,89,
1000457,,OTCT-650*478*228MM-1000PCS SODIMM-Y,OTCT-650*478*228MM-1000PCS SODIMM-Y,,EA,120,0,CN,S003,D668,1,G1,C1,339,389,50,UC,2680,2620,2,38,INR,76,1000456-SMT
700567-1,,OTCT-486*377*309MM-500PCS DIMM-Y,OTCT-486*377*309MM-500PCS DIMM-Y,,EA,120,0,PM,S009,D655,1,G1,C1,406,456,50,UC,2683,2683,5,36,USD,87,
108259,,"ROHS,Attention Tape","ROHS,Attention Tape",,EA,120,0,CN,S010,D667,1,G1,C1,300,350,50,UC,2763,2762,35,49,INR,93,
119852,,"RoHS,DRAM-1","RoHS,DRAM-2",,EA,120,0,CN,S006,D666,1,G1,C1,679,729,50,UC,2761,2717,6,48,USD,93,
132214,,"RoHS,Label, 5 X 2 inch blank","RoHS,Label, 5 X 2 inch blank",,EA,120,0,RM,S010,D655,1,G1,C1,479,529,50,UC,2612,2669,37,8,USD,98,
108259,,"RoHS,Label, 4X6 inch","RoHS,Label, 4X6 inch",,EA,120,0,CN,S003,D666,1,G1,C1,473,523,50,UC,3480,3460,44,32,USD,100,1000456-SMT
138531,,"RoHS,DRAM-1","RoHS,DRAM-2",,EA,120,0,CN,S004,D668,1,G1,C1,497,547,50,UC,3258,3352,42,21,USD,99,
1000457,,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,,EA,120,0,PM,S008,D666,1,G1,C1,264,314,50,UC,3663,3667,47,53,USD,82,1000456-SMT
137932,,"RoHS,DRAM-1","RoHS,DRAM-2",,EA,120,0,PM,S005,D666,1,G1,C1,353,403,50,UC,3360,3338,20,20,USD,97,1000457-SMT
119852,,"RoHS,SCM1G8Z41CD8SA-062E","RoHS,SCM1G8Z41CD8SA-062E",,EA,120,0,RM,S004,D667,1,G1,C1,492,542,50,UC,3714,3213,28,35,USD,83,1000456-SMT
119852,,"RoHS CARTON,SINGLE OUTPUT  PSU","RoHS CARTON,SINGLE OUTPUT  PSU",,EA,120,0,PM,S002,D668,1,G1,C1,726,776,50,UC,2648,2686,21,44,USD,95,1000457-SMT
111742,,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,,EA,120,0,CN,S009,D654,1,G1,C1,663,713,50,UC,2485,2857,9,49,USD,95,
121969,,"ROHS,Attention Tape","ROHS,Attention Tape",,EA,120,0,CN,S003,D667,1,G1,C1,543,593,50,UC,3520,3526,1,18,USD,85,
1000457,,"RoHS CARTON,SINGLE OUTPUT  PSU","RoHS CARTON,SINGLE OUTPUT  PSU",,EA,120,0,RM,S010,D667,1,G1,C1,542,592,50,UC,3546,3546,34,44,USD,99,1000456-SMT
114717,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,PM,S004,D654,1,G1,C1,290,340,50,UC,2883,2883,41,8,USD,89,1000456-SMT
1000457,,STATIC SHIELDED BAGS OF SIZE 280x220,STATIC SHIELDED BAGS OF SIZE 280x221,,EA,120,0,PM,S001,D654,1,G1,C1,422,472,50,UC,3930,3930,46,42,INR,91,
138872,,"RoHS,SCM1G8Z41CD8SA-062E","RoHS,SCM1G8Z41CD8SA-062E",,EA,120,0,CN,S010,D667,1,G1,C1,461,511,50,UC,3937,3923,27,43,USD,95,
105695,,STATIC SHIELDED BAGS OF SIZE 280x220,STATIC SHIELDED BAGS OF SIZE 280x221,,EA,120,0,CN,S001,D666,1,G1,C1,408,458,50,UC,3299,3299,20,14,INR,79,1000456-SMT
119192,,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,,EA,120,0,CN,S009,D655,1,G1,C1,596,646,50,UC,2948,2945,11,27,INR,86,1000456-SMT
1000457,,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,,EA,120,0,PM,S009,D655,1,G1,C1,578,628,50,UC,3613,3605,28,17,USD,99,
100441,,"RoHSLabel, 3.5 X 1 inch blank (outer box labels/","RoHSLabel, 3.5 X 1 inch blank (outer box labels/",,EA,120,0,PM,S004,D666,1,G1,C1,671,721,50,UC,3016,3006,59,41,INR,98,1000456-SMT
137932,,"RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS","RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS",,EA,120,0,PM,S001,D668,1,G1,C1,667,717,50,UC,2632,2630,46,34,INR,84,1000457-SMT
108259,,FUJI-FILTER 02,FUJI-FILTER 03,,EA,120,0,RM,S008,D668,1,G1,C1,548,598,50,UC,2739,2729,14,1,INR,92,
124257,,"RoHSLabel, 3.5 X 1 inch blank (outer box labels/","RoHSLabel, 3.5 X 1 inch blank (outer box labels/",,EA,120,0,PM,S005,D668,1,G1,C1,503,553,50,UC,3196,3192,33,49,USD,83,1000456-SMT
119852,,"RoHSLabel, 3.5 X 1 inch blank (outer box labels/","RoHSLabel, 3.5 X 1 inch blank (outer box labels/",,EA,120,0,PM,S010,D655,1,G1,C1,611,661,50,UC,3112,3182,36,29,INR,98,1000457-SMT
104936,,"ROHS,Attention Tape","ROHS,Attention Tape",,EA,120,0,RM,S002,D666,1,G1,C1,655,705,50,UC,3892,3818,43,55,USD,82,1000456-SMT
119852,,"RoHS,Security Tape","RoHS,Security Tape",,EA,120,0,RM,S005,D667,1,G1,C1,335,385,50,UC,3865,3863,42,21,INR,84,1000456-SMT
102565,,"RoHS,Label, 4X6 inch","RoHS,Label, 4X6 inch",,EA,120,0,CN,S009,D655,1,G1,C1,611,661,50,UC,2934,2903,36,6,INR,84,1000456-SMT
108259,,"RoHSLabel, 3.5 X 1 inch blank (outer box labels/","RoHSLabel, 3.5 X 1 inch blank (outer box labels/",,EA,120,0,RM,S009,D655,1,G1,C1,426,476,50,UC,3713,3711,45,40,INR,84,1000457-SMT
114717,,"RoHS PCB BOARD, IQ CONTROLLER","RoHS PCB BOARD, IQ CONTROLLER",,EA,120,0,PM,S007,D654,1,G1,C1,390,440,50,UC,3281,3234,50,38,USD,77,1000457-SMT
137963,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,PM,S010,D668,1,G1,C1,456,506,50,UC,3494,3478,52,41,USD,83,1000457-SMT
128313,,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,,EA,120,0,PM,S001,D655,1,G1,C1,483,533,50,UC,2880,2860,54,32,INR,97,
108259,,"RoHS CARTON,SINGLE OUTPUT  PSU","RoHS CARTON,SINGLE OUTPUT  PSU",,EA,120,0,CN,S004,D654,1,G1,C1,476,526,50,UC,3187,3184,17,29,INR,94,
149244,,"RoHSLabel, 3.5 X 1 inch blank (outer box labels/","RoHSLabel, 3.5 X 1 inch blank (outer box labels/",,EA,120,0,CN,S007,D654,1,G1,C1,555,605,50,UC,2707,2717,31,6,USD,75,1000457-SMT
138531,,"RoHS,Label, 4X6 inch","RoHS,Label, 4X6 inch",,EA,120,0,RM,S009,D655,1,G1,C1,374,424,50,UC,2910,2910,43,4,USD,77,1000456-SMT
133133,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,CN,S005,D667,1,G1,C1,412,462,50,UC,3680,3680,8,40,USD,95,1000456-SMT
108259,,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,,EA,120,0,PM,S009,D666,1,G1,C1,517,567,50,UC,2769,2382,11,50,INR,96,1000457-SMT
119852,,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,,EA,120,0,RM,S010,D667,1,G1,C1,497,547,50,UC,2938,2925,44,22,USD,95,1000456-SMT
119192,,"RoHSLabel, 3.5 X 1 inch blank (outer box labels/","RoHSLabel, 3.5 X 1 inch blank (outer box labels/",,EA,120,0,CN,S009,D654,1,G1,C1,489,539,50,UC,3522,3522,5,44,INR,99,
118140,,"RoHS,Security Tape","RoHS,Security Tape",,EA,120,0,RM,S002,D654,1,G1,C1,256,306,50,UC,3943,3924,52,44,USD,96,1000456-SMT
135506,,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,,EA,120,0,CN,S001,D668,1,G1,C1,591,641,50,UC,2766,2766,55,14,USD,95,
119852,,"ROHS,Attention Tape","ROHS,Attention Tape",,EA,120,0,PM,S007,D666,1,G1,C1,322,372,50,UC,3314,3439,7,4,USD,97,1000457-SMT
119852,,"ROHS,Attention Tape","ROHS,Attention Tape",,EA,120,0,CN,S005,D666,1,G1,C1,396,446,50,UC,3672,3671,22,6,INR,98,1000456-SMT
105695,,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,,EA,120,0,PM,S003,D655,1,G1,C1,567,617,50,UC,3505,3005,21,37,INR,90,1000457-SMT
147831,,"RoHS,Label, 5 X 2 inch blank","RoHS,Label, 5 X 2 inch blank",,EA,120,0,RM,S005,D655,1,G1,C1,353,403,50,UC,3730,3060,58,60,USD,85,1000456-SMT
120887,,_RARE_,_RARE_,,EA,120,0,CN,S010,D668,1,G1,C1,561,611,50,UC,2578,2575,60,39,INR,83,1000456-SMT
103813,,FUJI-FILTER 02,FUJI-FILTER 03,,EA,120,0,PM,S003,D668,1,G1,C1,652,702,50,UC,3844,3844,56,9,INR,94,1000457-SMT
102176,,"ROHS,Attention Tape","ROHS,Attention Tape",,EA,120,0,PM,S004,D666,1,G1,C1,747,797,50,UC,3023,3326,39,9,USD,89,1000456-SMT
109456,,FUJI-FILTER 02,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,,EA,120,0,PM,S002,D655,1,G1,C1,382,432,50,UC,2704,2709,46,28,INR,90,1000457-SMT
102565,,"RoHS,DRAM-1","RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS",,EA,120,0,PM,S007,D654,1,G1,C1,253,303,50,UC,3985,3985,36,50,INR,99,
700536-4,,"RoHS,DRAM-1","RoHS,DRAM-2",,EA,120,0,RM,S010,D667,1,G1,C1,280,330,50,UC,3311,3219,48,32,INR,90,
138872,,"RoHS,Security Tape","RoHS,Security Tape",,EA,120,0,PM,S002,D666,1,G1,C1,377,427,50,UC,2583,2978,41,2,INR,89,1000457-SMT
135722,,OTCT-650*478*228MM-1000PCS SODIMM-Y,OTCT-650*478*228MM-1000PCS SODIMM-Y,,EA,120,0,CN,S006,D667,1,G1,C1,263,313,50,UC,3889,3889,33,32,USD,87,1000456-SMT
114717,,OTCT-650*478*228MM-1000PCS SODIMM-Y,OTCT-650*478*228MM-1000PCS SODIMM-Y,,EA,120,0,RM,S005,D655,1,G1,C1,692,742,50,UC,2956,2956,59,51,INR,88,1000457-SMT
123234,,"RoHS CARTON,SINGLE OUTPUT  PSU","RoHS CARTON,SINGLE OUTPUT  PSU",,EA,120,0,PM,S003,D654,1,G1,C1,517,567,50,UC,2543,2542,22,50,USD,89,1000457-SMT
117430,,"RoHS,Security Tape","RoHS,Security Tape",,EA,120,0,CN,S007,D667,1,G1,C1,500,550,50,UC,3786,3788,30,11,INR,78,1000456-SMT
1000457,,FUJI-FILTER 02,FUJI-FILTER 02,,EA,120,0,CN,S005,D667,1,G1,C1,401,451,50,UC,2841,2843,35,44,INR,84,1000457-SMT
119852,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,PM,S009,D666,1,G1,C1,434,484,50,UC,2759,2751,46,39,INR,91,1000456-SMT
111742,,FUJI-FILTER 02,FUJI-FILTER 03,,EA,120,0,CN,S009,D666,1,G1,C1,609,659,50,UC,2845,2805,4,54,INR,78,
124257,,OTCT-650*478*228MM-1000PCS SODIMM-Y,OTCT-650*478*228MM-1000PCS SODIMM-Y,,EA,120,0,RM,S002,D654,1,G1,C1,612,662,50,UC,3637,3637,44,44,INR,79,1000456-SMT
102565,,"RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS","RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS",,EA,120,0,RM,S003,D667,1,G1,C1,716,766,50,UC,3367,3307,59,26,USD,88,1000457-SMT
120887,,"RoHS CARTON,SINGLE OUTPUT  PSU","RoHS CARTON,SINGLE OUTPUT  PSU",,EA,120,0,CN,S001,D667,1,G1,C1,508,558,50,UC,2965,2915,30,10,INR,75,1000456-SMT
108259,,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,,EA,120,0,RM,S001,D655,1,G1,C1,609,659,50,UC,3571,3987,24,48,USD,96,1000457-SMT
141663,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,RM,S005,D654,1,G1,C1,721,771,50,UC,3146,3152,35,24,INR,100,1000457-SMT
108259,,OTCT-486*377*309MM-500PCS DIMM-Y,OTCT-486*377*309MM-500PCS DIMM-Y,,EA,120,0,PM,S001,D655,1,G1,C1,407,457,50,UC,2838,2838,6,56,USD,85,1000457-SMT
122967,,"RoHSLabel, 3.5 X 1 inch blank (outer box labels/","RoHSLabel, 3.5 X 1 inch blank (outer box labels/",,EA,120,0,RM,S003,D655,1,G1,C1,667,717,50,UC,3238,3200,51,21,INR,94,
133133,,"RoHS PCB BOARD, IQ CONTROLLER","RoHS PCB BOARD, IQ CONTROLLER",,EA,120,0,RM,S006,D668,1,G1,C1,604,654,50,UC,2507,2464,26,34,USD,96,
119192,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,PM,S008,D655,1,G1,C1,616,666,50,UC,3356,3356,5,27,INR,91,
1000457,,"RoHS,Label, 4X6 inch","RoHS,Label, 4X6 inch",,EA,120,0,RM,S002,D666,1,G1,C1,539,589,50,UC,3781,3789,56,42,INR,76,1000457-SMT
102565,,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,,EA,120,0,PM,S001,D666,1,G1,C1,324,374,50,UC,3469,3339,6,7,USD,79,1000457-SMT
108259,,"RoHS,Label, 5 X 2 inch blank","RoHS,Label, 5 X 2 inch blank",,EA,120,0,PM,S008,D654,1,G1,C1,547,597,50,UC,2382,3228,54,29,INR,94,1000456-SMT
136998,,STATIC SHIELDED BAGS OF SIZE 280x220,STATIC SHIELDED BAGS OF SIZE 280x221,,EA,120,0,RM,S004,D666,1,G1,C1,524,574,50,UC,3609,3661,47,59,USD,100,1000456-SMT
125880,,"RoHS,Label, 5 X 2 inch blank","RoHS,Label, 5 X 2 inch blank",,EA,120,0,RM,S010,D654,1,G1,C1,695,745,50,UC,3058,3573,12,1,INR,91,1000456-SMT
108259,,"RoHS CARTON,SINGLE OUTPUT  PSU","RoHS CARTON,SINGLE OUTPUT  PSU",,EA,120,0,RM,S002,D655,1,G1,C1,293,343,50,UC,2538,2532,33,28,USD,77,1000456-SMT
